construct_seconds,family,instance,method,n,query_seconds,repeat,seed,total_seconds
0.006771790999664518,correlated_risk,correlated_risk_n360_m6_g18_s22,compressed,360,0.0012662910003200523,3,22,0.008099416999357345
0.046280208000098355,correlated_risk,correlated_risk_n360_m6_g18_s22,dense,360,0.00805091700021876,3,22,0.054376207999666804
0.04640687500068452,correlated_risk,correlated_risk_n360_m6_g18_s22,dense,360,0.008189458000742889,4,22,0.05464683399986825
0.006792958000005456,correlated_risk,correlated_risk_n360_m6_g18_s22,compressed,360,0.001226582999152015,4,22,0.008082666000518657
0.006735375000062049,correlated_risk,correlated_risk_n360_m6_g18_s23,compressed,360,0.0011609580005824682,0,23,0.00795945799927722
0.046041917000366084,correlated_risk,correlated_risk_n360_m6_g18_s23,dense,360,0.008109332999993057,0,23,0.05419658299979346
0.04621491700072511,correlated_risk,correlated_risk_n360_m6_g18_s23,dense,360,0.008150582999405742,1,23,0.05441291600072873
0.006691667000268353,correlated_risk,correlated_risk_n360_m6_g18_s23,compressed,360,0.0012021249995086691,1,23,0.007955667000715039
0.006688333000056446,correlated_risk,correlated_risk_n360_m6_g18_s23,compressed,360,0.0012113750008211355,2,23,0.007965042000250833
0.04561879199991381,correlated_risk,correlated_risk_n360_m6_g18_s23,dense,360,0.00784033299987641,2,23,0.05350529099996493
0.04578937499991298,correlated_risk,correlated_risk_n360_m6_g18_s23,dense,360,0.008053042000028654,3,23,0.05389512499914417
0.006701792000058049,correlated_risk,correlated_risk_n360_m6_g18_s23,compressed,360,0.001216624999869964,3,23,0.007982541000274068
0.006646666000051482,correlated_risk,correlated_risk_n360_m6_g18_s23,compressed,360,0.0011748750002880115,4,23,0.007885957999860693
0.04623483299928921,correlated_risk,correlated_risk_n360_m6_g18_s23,dense,360,0.008181041999705485,4,23,0.05446787500022765
0.013230124999608961,correlated_risk,correlated_risk_n720_m6_g26_s21,compressed,720,0.002178208000259474,0,21,0.015530708000369486
0.09296516699942003,correlated_risk,correlated_risk_n720_m6_g26_s21,dense,720,0.016212000000450644,0,21,0.10928445799982
0.09289625000019441,correlated_risk,correlated_risk_n720_m6_g26_s21,dense,720,0.016286416000184545,1,21,0.10927108300074906
0.0132393330004561,correlated_risk,correlated_risk_n720_m6_g26_s21,compressed,720,0.0021827079999638954,1,21,0.015539084000010916
0.013374208999266557,correlated_risk,correlated_risk_n720_m6_g26_s21,compressed,720,0.0022207080000953283,2,21,0.0157132089998413
0.09281275000012101,correlated_risk,correlated_risk_n720_m6_g26_s21,dense,720,0.016378500000428176,2,21,0.10927558399998816
